,0,projector,dataset,encoder,classifier
134,PCA-kather100k-Uni-XGBoost,PCA,kather100k,Uni,XGBoost
135,PCA-kather100k-Uni2-LG,PCA,kather100k,Uni2,LG
136,PCA-kather100k-Uni2-MLP,PCA,kather100k,Uni2,MLP
137,PCA-kather100k-Uni2-XGBoost,PCA,kather100k,Uni2,XGBoost
138,PCA-kather100k-HIBOU-LG,PCA,kather100k,HIBOU,LG
139,PCA-kather100k-HIBOU-MLP,PCA,kather100k,HIBOU,MLP
140,PCA-kather100k-HIBOU-XGBoost,PCA,kather100k,HIBOU,XGBoost
141,PCA-kather100k-DinoV2-LG,PCA,kather100k,DinoV2,LG
142,PCA-kather100k-DinoV2-MLP,PCA,kather100k,DinoV2,MLP
143,PCA-kather100k-DinoV2-XGBoost,PCA,kather100k,DinoV2,XGBoost
144,Rand-spidercolorectal-Uni-LG,Rand,spidercolorectal,Uni,LG
145,Rand-spidercolorectal-Uni-MLP,Rand,spidercolorectal,Uni,MLP
146,Rand-spidercolorectal-Uni-XGBoost,Rand,spidercolorectal,Uni,XGBoost
147,Rand-spidercolorectal-Uni2-LG,Rand,spidercolorectal,Uni2,LG
148,Rand-spidercolorectal-Uni2-MLP,Rand,spidercolorectal,Uni2,MLP
149,Rand-spidercolorectal-Uni2-XGBoost,Rand,spidercolorectal,Uni2,XGBoost
150,Rand-spidercolorectal-HIBOU-LG,Rand,spidercolorectal,HIBOU,LG
151,Rand-spidercolorectal-HIBOU-MLP,Rand,spidercolorectal,HIBOU,MLP
152,Rand-spidercolorectal-HIBOU-XGBoost,Rand,spidercolorectal,HIBOU,XGBoost
153,Rand-spidercolorectal-DinoV2-LG,Rand,spidercolorectal,DinoV2,LG
154,Rand-spidercolorectal-DinoV2-MLP,Rand,spidercolorectal,DinoV2,MLP
155,Rand-spidercolorectal-DinoV2-XGBoost,Rand,spidercolorectal,DinoV2,XGBoost
156,Rand-spiderskin-Uni-LG,Rand,spiderskin,Uni,LG
157,Rand-spiderskin-Uni-MLP,Rand,spiderskin,Uni,MLP
158,Rand-spiderskin-Uni-XGBoost,Rand,spiderskin,Uni,XGBoost
159,Rand-spiderskin-Uni2-LG,Rand,spiderskin,Uni2,LG
160,Rand-spiderskin-Uni2-MLP,Rand,spiderskin,Uni2,MLP
161,Rand-spiderskin-Uni2-XGBoost,Rand,spiderskin,Uni2,XGBoost
162,Rand-spiderskin-HIBOU-LG,Rand,spiderskin,HIBOU,LG
163,Rand-spiderskin-HIBOU-MLP,Rand,spiderskin,HIBOU,MLP
164,Rand-spiderskin-HIBOU-XGBoost,Rand,spiderskin,HIBOU,XGBoost
165,Rand-spiderskin-DinoV2-LG,Rand,spiderskin,DinoV2,LG
166,Rand-spiderskin-DinoV2-MLP,Rand,spiderskin,DinoV2,MLP
167,Rand-spiderskin-DinoV2-XGBoost,Rand,spiderskin,DinoV2,XGBoost
168,Rand-spiderbreast-Uni-LG,Rand,spiderbreast,Uni,LG
169,Rand-spiderbreast-Uni-MLP,Rand,spiderbreast,Uni,MLP
170,Rand-spiderbreast-Uni-XGBoost,Rand,spiderbreast,Uni,XGBoost
171,Rand-spiderbreast-Uni2-LG,Rand,spiderbreast,Uni2,LG
172,Rand-spiderbreast-Uni2-MLP,Rand,spiderbreast,Uni2,MLP
173,Rand-spiderbreast-Uni2-XGBoost,Rand,spiderbreast,Uni2,XGBoost
174,Rand-spiderbreast-HIBOU-LG,Rand,spiderbreast,HIBOU,LG
