,key,path,found_perm,true_perm,correct,overlap
170,c,../puck/data/images_copy/custom/jack_cole/short/C/custom_jack_cole_short_C_4.jpg,efg,efg,True,3
171,c,../puck/data/images_copy/custom/jack_cole/short/C/custom_jack_cole_short_C_3.jpg,efg,efg,True,3
172,c,../puck/data/images_copy/custom/jack_cole/short/C/custom_jack_cole_short_C_2.jpg,efg,efg,True,3
173,c,../puck/data/images_copy/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg,efg,efg,True,3
174,c,../puck/data/images_copy/custom/jack_cole/short/C/custom_jack_cole_short_C_1.jpg,ebg,efg,False,2
175,c,../puck/data/images_copy/custom/jack_cole/medium/C/custom_jack_cole_medium_C_1.jpg,ebg,efg,False,2
176,c,../puck/data/images_copy/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg,ebg,efg,False,2
177,c,../puck/data/images_copy/custom/jack_cole/medium/C/custom_jack_cole_medium_C_2.jpg,ebg,efg,False,2
178,c,../puck/data/images_copy/custom/jack_cole/medium/C/custom_jack_cole_medium_C_3.jpg,efg,efg,True,3
179,c,../puck/data/images_copy/custom/jack_cole/medium/C/custom_jack_cole_medium_C_4.jpg,ebg,efg,False,2
180,d,../puck/data/images_copy/custom/michaels/high/D/custom_michaels_high_D_4.jpg,fff,fff,True,3
181,d,../puck/data/images_copy/custom/michaels/high/D/custom_michaels_high_D_2.jpg,fff,fff,True,3
182,d,../puck/data/images_copy/custom/michaels/high/D/custom_michaels_high_D_3.jpg,fff,fff,True,3
183,d,../puck/data/images_copy/custom/michaels/high/D/custom_michaels_high_D_1.jpg,fff,fff,True,3
184,d,../puck/data/images_copy/custom/michaels/high/D/custom_michaels_high_D_0.jpg,fff,fff,True,3
185,d,../puck/data/images_copy/custom/michaels/short/D/custom_michaels_short_D_4.jpg,fff,fff,True,3
186,d,../puck/data/images_copy/custom/michaels/short/D/custom_michaels_short_D_2.jpg,fff,fff,True,3
187,d,../puck/data/images_copy/custom/michaels/short/D/custom_michaels_short_D_3.jpg,fff,fff,True,3
188,d,../puck/data/images_copy/custom/michaels/short/D/custom_michaels_short_D_1.jpg,fff,fff,True,3
189,d,../puck/data/images_copy/custom/michaels/short/D/custom_michaels_short_D_0.jpg,fff,fff,True,3
190,d,../puck/data/images_copy/custom/michaels/medium/D/custom_michaels_medium_D_0.jpg,fff,fff,True,3
191,d,../puck/data/images_copy/custom/michaels/medium/D/custom_michaels_medium_D_1.jpg,fff,fff,True,3
192,d,../puck/data/images_copy/custom/michaels/medium/D/custom_michaels_medium_D_3.jpg,fff,fff,True,3
193,d,../puck/data/images_copy/custom/michaels/medium/D/custom_michaels_medium_D_2.jpg,fff,fff,True,3
194,d,../puck/data/images_copy/custom/michaels/medium/D/custom_michaels_medium_D_4.jpg,fff,fff,True,3
195,d,../puck/data/images_copy/custom/davids/high/D/custom_davids_high_D_3.jpg,fff,fff,True,3
196,d,../puck/data/images_copy/custom/davids/high/D/custom_davids_high_D_2.jpg,fff,fff,True,3
197,d,../puck/data/images_copy/custom/davids/high/D/custom_davids_high_D_0.jpg,fff,fff,True,3
198,d,../puck/data/images_copy/custom/davids/high/D/custom_davids_high_D_1.jpg,fff,fff,True,3
199,d,../puck/data/images_copy/custom/davids/high/D/custom_davids_high_D_4.jpg,fff,fff,True,3
200,d,../puck/data/images_copy/custom/davids/short/D/custom_davids_short_D_3.jpg,bff,fff,False,2
