,key,path,found_perm,true_perm,correct,overlap,luv_coords
97,b,../puck/data/images_copy/dark/john_honey/short/B/dark_john_honey_short_B_2.jpg,adc,ahc,False,2,"[array([144,  86,  83], dtype=uint8), array([107, 134, 155], dtype=uint8), array([109,  74, 154], dtype=uint8)]"
98,b,../puck/data/images_copy/dark/john_honey/short/B/dark_john_honey_short_B_0.jpg,adc,ahc,False,2,"[array([118,  81,  72], dtype=uint8), array([ 95, 153, 159], dtype=uint8), array([101,  75, 153], dtype=uint8)]"
99,b,../puck/data/images_copy/dark/john_honey/short/B/dark_john_honey_short_B_1.jpg,adc,ahc,False,2,"[array([116,  82,  68], dtype=uint8), array([ 98, 155, 159], dtype=uint8), array([100,  75, 154], dtype=uint8)]"
100,b,../puck/data/images_copy/dark/john_honey/medium/B/dark_john_honey_medium_B_0.jpg,adc,ahc,False,2,"[array([112,  81,  69], dtype=uint8), array([ 92, 162, 161], dtype=uint8), array([ 90,  77, 153], dtype=uint8)]"
101,b,../puck/data/images_copy/dark/john_honey/medium/B/dark_john_honey_medium_B_1.jpg,adc,ahc,False,2,"[array([122,  81,  68], dtype=uint8), array([ 94, 153, 162], dtype=uint8), array([128,  71, 147], dtype=uint8)]"
102,b,../puck/data/images_copy/dark/john_honey/medium/B/dark_john_honey_medium_B_3.jpg,adc,ahc,False,2,"[array([119,  81,  72], dtype=uint8), array([108, 165, 164], dtype=uint8), array([121,  73, 149], dtype=uint8)]"
103,b,../puck/data/images_copy/dark/john_honey/medium/B/dark_john_honey_medium_B_2.jpg,adc,ahc,False,2,"[array([133,  81,  66], dtype=uint8), array([105, 164, 164], dtype=uint8), array([119,  72, 149], dtype=uint8)]"
104,b,../puck/data/images_copy/dark/john_honey/medium/B/dark_john_honey_medium_B_4.jpg,adc,ahc,False,2,"[array([130,  81,  71], dtype=uint8), array([114, 165, 165], dtype=uint8), array([124,  72, 151], dtype=uint8)]"
105,b,../puck/data/images_copy/dark/jack_cole/high/B/dark_jack_cole_high_B_0.jpg,adc,ahc,False,2,"[array([96, 83, 53], dtype=uint8), array([ 85, 154, 160], dtype=uint8), array([ 94,  76, 137], dtype=uint8)]"
106,b,../puck/data/images_copy/dark/jack_cole/high/B/dark_jack_cole_high_B_1.jpg,adc,ahc,False,2,"[array([112,  81,  59], dtype=uint8), array([110, 146, 159], dtype=uint8), array([108,  75, 133], dtype=uint8)]"
107,b,../puck/data/images_copy/dark/jack_cole/high/B/dark_jack_cole_high_B_3.jpg,adc,ahc,False,2,"[array([111,  81,  52], dtype=uint8), array([ 99, 148, 161], dtype=uint8), array([128,  74, 133], dtype=uint8)]"
108,b,../puck/data/images_copy/dark/jack_cole/high/B/dark_jack_cole_high_B_2.jpg,adc,ahc,False,2,"[array([112,  81,  54], dtype=uint8), array([101, 149, 162], dtype=uint8), array([128,  75, 133], dtype=uint8)]"
109,b,../puck/data/images_copy/dark/jack_cole/high/B/dark_jack_cole_high_B_4.jpg,adc,ahc,False,2,"[array([107,  81,  54], dtype=uint8), array([ 96, 146, 161], dtype=uint8), array([128,  74, 131], dtype=uint8)]"
110,b,../puck/data/images_copy/dark/jack_cole/short/B/dark_jack_cole_short_B_4.jpg,adc,ahc,False,2,"[array([90, 84, 59], dtype=uint8), array([ 78, 151, 158], dtype=uint8), array([ 96,  76, 137], dtype=uint8)]"
111,b,../puck/data/images_copy/dark/jack_cole/short/B/dark_jack_cole_short_B_2.jpg,adc,ahc,False,2,"[array([102,  82,  62], dtype=uint8), array([ 80, 154, 160], dtype=uint8), array([103,  75, 137], dtype=uint8)]"
