,palette,loc,height,set,blobCount,closeEnough,count4,closeCount4,time,points,path
28,custom,john_honey,medium,A,4,True,True,True,78243667,"[0.0, 1.0, 1.0, 1.4142135623730951]",custom_john_honey_medium_A_0.jpg
29,custom,john_honey,medium,B,3,True,False,False,76912084,"[1.0, 1.0, 1.0]",custom_john_honey_medium_B_0.jpg
30,custom,john_honey,medium,C,2,True,False,False,81465667,"[1.0, 1.4142135623730951]",custom_john_honey_medium_C_0.jpg
31,custom,john_honey,medium,D,4,True,True,True,74888292,"[0.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_john_honey_medium_D_0.jpg
32,custom,john_honey,short,A,4,True,True,True,78546250,"[0.0, 1.0, 1.4142135623730951, 2.0]",custom_john_honey_short_A_0.jpg
33,custom,john_honey,short,B,3,True,False,False,85959375,"[1.0, 2.23606797749979, 2.23606797749979]",custom_john_honey_short_B_0.jpg
34,custom,john_honey,short,C,2,True,False,False,94101000,"[1.4142135623730951, 2.8284271247461903]",custom_john_honey_short_C_0.jpg
35,custom,john_honey,short,D,4,True,True,True,94589083,"[0.0, 1.0, 1.4142135623730951, 2.23606797749979]",custom_john_honey_short_D_0.jpg
36,custom,michaels,high,A,2,True,False,False,57778417,"[0.0, 2.23606797749979]",custom_michaels_high_A_0.jpg
37,custom,michaels,high,B,5,False,False,False,90766542,"[1.0, 1.0, 2.8284271247461903, 114.54256850621083, 916.026746334407]",custom_michaels_high_B_0.jpg
38,custom,michaels,high,C,2,True,False,False,80256125,"[1.4142135623730951, 2.23606797749979]",custom_michaels_high_C_0.jpg
39,custom,michaels,high,D,4,True,True,True,59529375,"[0.0, 0.0, 1.0, 1.4142135623730951]",custom_michaels_high_D_0.jpg
40,custom,michaels,medium,A,4,True,True,True,73335958,"[0.0, 1.4142135623730951, 2.0, 2.23606797749979]",custom_michaels_medium_A_0.jpg
41,custom,michaels,medium,B,3,True,False,False,67346958,"[1.0, 1.0, 1.0]",custom_michaels_medium_B_0.jpg
42,custom,michaels,medium,C,1,True,False,False,63090000,[1.0],custom_michaels_medium_C_0.jpg
43,custom,michaels,medium,D,4,False,True,False,75611875,"[1.0, 1.0, 1.0, 7.615773105863909]",custom_michaels_medium_D_0.jpg
44,custom,michaels,short,A,4,True,True,True,49310750,"[1.0, 1.0, 1.0, 2.23606797749979]",custom_michaels_short_A_0.jpg
45,custom,michaels,short,B,2,True,False,False,53408875,"[1.0, 1.4142135623730951]",custom_michaels_short_B_0.jpg
46,custom,michaels,short,C,2,True,False,False,50107875,"[0.0, 1.0]",custom_michaels_short_C_0.jpg
47,custom,michaels,short,D,3,True,False,False,49678708,"[1.4142135623730951, 2.0, 2.0]",custom_michaels_short_D_0.jpg
48,dark,davids,high,A,5,False,False,False,54711458,"[1.0, 1.0, 272.0183817318234, 285.4277491765648, 303.4633421024688]",dark_davids_high_A_0.jpg
