,0,1,2,3
"(np.float64(1.0), 170, 130, 30, 15)",houghCircle,0.808333333,45486104.25,35038734.5
"(np.float64(1.0), 170, 160, 30, 15)",houghCircle,0.808333333,43536371.77,33190517.5
"(np.float64(1.0), 180, 160, 30, 15)",houghCircle,0.808333333,41706977.25,31871342
"(np.float64(1.0), 190, 160, 30, 15)",houghCircle,0.808333333,42700130.32,32607327
"(np.float64(1.0), 200, 170, 30, 15)",houghCircle,0.808333333,45208809.09,33397204.5
"(np.float64(1.0), 210, 100, 35, 15)",houghCircle,0.808333333,46097638.83,36606805.5
"(np.float64(1.0), 210, 110, 35, 15)",houghCircle,0.808333333,43862471.94,34933486
"(np.float64(1.0), 210, 120, 30, 15)",houghCircle,0.808333333,48461806.53,35852482
"(np.float64(1.0), 210, 140, 30, 15)",houghCircle,0.808333333,44629891.72,32917775.5
"(np.float64(1.0), 210, 150, 30, 15)",houghCircle,0.808333333,41962438.77,33844424
"(np.float64(1.0), 210, 170, 30, 15)",houghCircle,0.808333333,43419254.53,33211065
"(np.float64(1.0), 220, 100, 35, 15)",houghCircle,0.808333333,46491764.23,36258909
"(np.float64(1.0), 220, 110, 35, 15)",houghCircle,0.808333333,44085429.08,35488182.5
"(np.float64(1.0), 220, 120, 30, 15)",houghCircle,0.808333333,43890091.78,33833842.5
"(np.float64(1.0), 220, 140, 30, 15)",houghCircle,0.808333333,41787360.04,33019356
"(np.float64(1.0), 220, 150, 30, 15)",houghCircle,0.808333333,43548277.79,33312897
"(np.float64(1.0), 220, 170, 30, 15)",houghCircle,0.808333333,41942232.82,32355725.5
"(np.float64(1.0), 230, 100, 35, 15)",houghCircle,0.808333333,46125300.95,36459054.5
"(np.float64(1.0), 230, 110, 35, 15)",houghCircle,0.808333333,46029274.48,36553111
"(np.float64(1.0), 230, 120, 30, 15)",houghCircle,0.808333333,43510140.17,33760091
"(np.float64(1.0), 230, 140, 30, 15)",houghCircle,0.808333333,40599609.32,33557920
"(np.float64(1.0), 230, 150, 30, 15)",houghCircle,0.808333333,40949341.99,33153071
"(np.float64(1.0), 230, 170, 30, 15)",houghCircle,0.808333333,44615701.74,33173135
"(np.float64(1.0), 240, 100, 35, 15)",houghCircle,0.808333333,44027688.03,36654766
"(np.float64(1.0), 240, 110, 35, 15)",houghCircle,0.808333333,44207537.69,35255811.5
"(np.float64(1.0), 250, 100, 30, 15)",houghCircle,0.808333333,47407649.99,36986893.5
"(np.float64(1.0), 250, 100, 35, 15)",houghCircle,0.808333333,47778515.41,36885313.5
"(np.float64(1.0), 250, 110, 35, 15)",houghCircle,0.808333333,43883942.06,35569069
"(np.float64(1.0), 260, 100, 30, 15)",houghCircle,0.808333333,43293741.91,35663065
"(np.float64(1.0), 260, 100, 35, 15)",houghCircle,0.808333333,47887655.9,37588081.5
"(np.float64(1.0), 260, 110, 35, 15)",houghCircle,0.808333333,44065912.77,34685727
"(np.float64(1.0), 270, 110, 30, 15)",houghCircle,0.808333333,41847106.87,33908364
"(np.float64(1.0), 280, 180, 30, 15)",houghCircle,0.808333333,43022453.27,31188486.5
"(np.float64(1.5), 140, 160, 30, 15)",houghCircle,0.808333333,39785308.36,31394382.5
"(np.float64(1.5), 150, 160, 30, 15)",houghCircle,0.808333333,39333726.63,31838982
"(np.float64(1.5), 160, 130, 30, 15)",houghCircle,0.808333333,43779778.49,33942694
"(np.float64(1.5), 160, 160, 30, 15)",houghCircle,0.808333333,42863685.4,32466529
"(np.float64(1.5), 170, 130, 30, 15)",houghCircle,0.808333333,43364024.41,34461530.5
"(np.float64(1.5), 170, 160, 30, 15)",houghCircle,0.808333333,44235442.42,32932488
"(np.float64(1.5), 180, 160, 30, 15)",houghCircle,0.808333333,45423964.23,34050566
"(np.float64(1.5), 190, 160, 30, 15)",houghCircle,0.808333333,44035339,33022997.5
"(np.float64(1.5), 200, 170, 30, 15)",houghCircle,0.808333333,46589063.23,36117629.5
"(np.float64(1.5), 210, 100, 35, 15)",houghCircle,0.808333333,44427968.6,35335396
"(np.float64(1.5), 210, 110, 35, 15)",houghCircle,0.808333333,45226969.29,35522562
"(np.float64(1.5), 210, 120, 30, 15)",houghCircle,0.808333333,44858556.9,34248476.5
"(np.float64(1.5), 210, 140, 30, 15)",houghCircle,0.808333333,42661835.53,32377426.5
"(np.float64(1.5), 210, 150, 30, 15)",houghCircle,0.808333333,43399985.06,33483878
"(np.float64(1.5), 210, 170, 30, 15)",houghCircle,0.808333333,41326185.94,31605874
"(np.float64(1.5), 220, 100, 35, 15)",houghCircle,0.808333333,46922049.26,36622530
"(np.float64(1.5), 220, 110, 35, 15)",houghCircle,0.808333333,44561547.93,35256122.5
"(np.float64(1.5), 220, 120, 30, 15)",houghCircle,0.808333333,42242991.29,32484252.5
"(np.float64(1.5), 220, 140, 30, 15)",houghCircle,0.808333333,43970293.5,32880495.5
"(np.float64(1.5), 220, 150, 30, 15)",houghCircle,0.808333333,49239726.22,38968241
"(np.float64(1.5), 220, 170, 30, 15)",houghCircle,0.808333333,41382647.75,32157529
"(np.float64(1.5), 230, 100, 35, 15)",houghCircle,0.808333333,44117935.2,35701021.5
"(np.float64(1.5), 230, 110, 35, 15)",houghCircle,0.808333333,46454886.41,35856498.5
"(np.float64(1.5), 230, 120, 30, 15)",houghCircle,0.808333333,52546075.38,42518912
"(np.float64(1.5), 230, 140, 30, 15)",houghCircle,0.808333333,44498850.5,34095890.5
"(np.float64(1.5), 230, 150, 30, 15)",houghCircle,0.808333333,40913438.71,32315484.5
"(np.float64(1.5), 230, 170, 30, 15)",houghCircle,0.808333333,41650808.74,32903533.5
"(np.float64(1.5), 240, 100, 35, 15)",houghCircle,0.808333333,44415609.27,35699364.5
"(np.float64(1.5), 240, 110, 35, 15)",houghCircle,0.808333333,43769180.49,34843908
"(np.float64(1.5), 250, 100, 30, 15)",houghCircle,0.808333333,44408854.85,37120856
"(np.float64(1.5), 250, 100, 35, 15)",houghCircle,0.808333333,43574134.03,36492843
"(np.float64(1.5), 250, 110, 35, 15)",houghCircle,0.808333333,43169738.21,34405576.5
"(np.float64(1.5), 260, 100, 30, 15)",houghCircle,0.808333333,46612629.35,36459224.5
"(np.float64(1.5), 260, 100, 35, 15)",houghCircle,0.808333333,45344225.71,35708467
"(np.float64(1.5), 260, 110, 35, 15)",houghCircle,0.808333333,47158481.5,35490045.5
"(np.float64(1.5), 270, 110, 30, 15)",houghCircle,0.808333333,54049995.29,43972595
"(np.float64(1.5), 280, 180, 30, 15)",houghCircle,0.808333333,44127929.19,31622300
"(np.float64(1.0), 100, 160, 30, 15)",houghCircle,0.80625,43960492.72,34121614
"(np.float64(1.0), 110, 160, 30, 15)",houghCircle,0.80625,54998993.25,43363773
"(np.float64(1.0), 120, 160, 30, 15)",houghCircle,0.80625,45246370.79,33479965.5
"(np.float64(1.0), 130, 160, 30, 15)",houghCircle,0.80625,40961155.11,32774101
"(np.float64(1.0), 140, 130, 30, 15)",houghCircle,0.80625,43450906.27,33583308
"(np.float64(1.0), 140, 170, 30, 15)",houghCircle,0.80625,40489196.76,31762337.5
"(np.float64(1.0), 150, 130, 30, 15)",houghCircle,0.80625,43383251.71,33470052.5
"(np.float64(1.0), 150, 170, 30, 15)",houghCircle,0.80625,42003724.02,32538419
"(np.float64(1.0), 160, 170, 30, 15)",houghCircle,0.80625,43023793.06,32512901
"(np.float64(1.0), 170, 170, 30, 15)",houghCircle,0.80625,42647592.82,32796849.5
"(np.float64(1.0), 180, 170, 30, 15)",houghCircle,0.80625,43809505.82,34375424.5
"(np.float64(1.0), 190, 100, 35, 15)",houghCircle,0.80625,45096121.33,36867311.5
"(np.float64(1.0), 190, 110, 35, 15)",houghCircle,0.80625,45905834.67,34974704
"(np.float64(1.0), 190, 170, 30, 15)",houghCircle,0.80625,41270532.44,31797123.5
"(np.float64(1.0), 200, 100, 35, 15)",houghCircle,0.80625,44016091.12,35540927.5
"(np.float64(1.0), 200, 110, 35, 15)",houghCircle,0.80625,46716384.15,35459393.5
"(np.float64(1.0), 200, 120, 30, 15)",houghCircle,0.80625,45795690.9,35855536
"(np.float64(1.0), 200, 140, 30, 15)",houghCircle,0.80625,44361823.62,33608942
"(np.float64(1.0), 200, 150, 30, 15)",houghCircle,0.80625,43319705.9,32541705
"(np.float64(1.0), 240, 100, 30, 15)",houghCircle,0.80625,47507526.78,37302591.5
"(np.float64(1.0), 240, 110, 30, 15)",houghCircle,0.80625,44970899.66,35675423.5
"(np.float64(1.0), 240, 180, 30, 15)",houghCircle,0.80625,44266334.9,32421480
"(np.float64(1.0), 250, 110, 30, 15)",houghCircle,0.80625,43272897.22,34999735.5
"(np.float64(1.0), 250, 180, 30, 15)",houghCircle,0.80625,38942934.58,30568758
"(np.float64(1.0), 260, 110, 30, 15)",houghCircle,0.80625,42857929.95,34602080.5
"(np.float64(1.0), 260, 180, 30, 15)",houghCircle,0.80625,41707883.28,31714390
"(np.float64(1.0), 270, 180, 30, 15)",houghCircle,0.80625,42022531.47,31312978.5
