,0,1,2,3,4,5
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.0,0.116287584,4,True,True,0.116287584,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.1,0.121682167,4,True,True,0.121682167,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.2,0.128600375,4,True,True,0.128600375,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.3,0.135504125,4,True,True,0.135504125,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.4,0.141820834,4,True,True,0.141820834,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.5,0.172933709,4,True,True,0.172933709,"[1.0, 1.0, 1.4142135623730951, 3.0]"
images_miniset/custom/davids/short/B/custom_davids_short_B_0.jpg.6,0.22008275,4,False,False,0.22008275,"[0.0, 1.0, 1.4142135623730951, 7.280109889280518]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.0,0.114688166,3,True,False,0.114688166,"[1.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.1,0.121177084,4,True,True,0.121177084,"[1.0, 2.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.2,0.128268166,4,True,True,0.128268166,"[1.0, 2.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.3,0.135183625,4,True,True,0.135183625,"[1.0, 2.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.4,0.141763042,4,True,True,0.141763042,"[1.0, 2.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.5,0.172058625,4,True,True,0.172058625,"[1.0, 2.0, 2.0, 2.8284271247461903]"
images_miniset/custom/davids/short/C/custom_davids_short_C_0.jpg.6,0.213612417,5,True,False,0.213612417,"[1.0, 2.0, 2.23606797749979, 2.8284271247461903, 247.95160818191923]"
images_miniset/custom/davids/short/D/custom_davids_short_D_0.jpg.0,0.111293917,4,True,True,0.111293917,"[0.0, 0.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/D/custom_davids_short_D_0.jpg.1,0.117254584,4,True,True,0.117254584,"[0.0, 0.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/D/custom_davids_short_D_0.jpg.2,0.122373,4,True,True,0.122373,"[0.0, 0.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/D/custom_davids_short_D_0.jpg.3,0.129134542,4,True,True,0.129134542,"[0.0, 0.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/D/custom_davids_short_D_0.jpg.4,0.133735,4,True,True,0.133735,"[0.0, 0.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/D/custom_davids_short_D_0.jpg.5,0.161902,4,True,True,0.161902,"[0.0, 0.0, 1.0, 1.4142135623730951]"
images_miniset/custom/davids/short/D/custom_davids_short_D_0.jpg.6,0.204483083,4,True,True,0.204483083,"[0.0, 0.0, 1.0, 1.4142135623730951]"
images_miniset/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg.0,0.109516542,4,True,True,0.109516542,"[0.0, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg.1,0.114044875,4,True,True,0.114044875,"[0.0, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg.2,0.118746542,4,True,True,0.118746542,"[0.0, 1.4142135623730951, 2.0, 2.23606797749979]"
images_miniset/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg.3,0.127197209,4,True,True,0.127197209,"[0.0, 1.0, 1.4142135623730951, 2.23606797749979]"
images_miniset/custom/jack_cole/high/A/custom_jack_cole_high_A_0.jpg.4,0.127605625,4,True,True,0.127605625,"[0.0, 1.4142135623730951, 2.0, 2.23606797749979]"
